email_idx,latency_ms,label
625,43.8812,0
626,42.0172,1
627,44.911,0
628,44.5158,0
629,44.6474,0
630,42.5482,0
631,42.688,1
632,39.1395,1
633,38.1847,0
634,37.1084,0
635,38.9633,0
636,41.88,0
637,40.9395,1
638,39.7295,1
639,39.9938,0
640,38.5319,0
641,37.4622,0
642,39.7444,1
643,36.9911,1
644,37.4973,0
645,39.9565,1
646,38.2001,0
647,37.3295,0
648,37.3785,1
649,39.1372,0
650,36.7861,0
651,40.1852,0
652,39.4937,0
653,39.145,0
654,39.0983,0
655,39.8782,1
656,38.9129,0
657,40.2269,1
658,43.3526,0
659,41.1819,1
660,40.2689,0
661,42.1985,0
662,38.1561,0
663,40.8726,1
664,39.3548,0
665,38.02,0
666,36.1352,0
667,40.1971,0
668,36.6283,1
669,39.2082,0
670,39.8307,0
671,36.9747,0
672,38.0993,0
673,38.9961,0
674,38.8204,0
675,37.1822,0
676,37.6547,1
677,38.4602,0
678,39.1294,0
679,40.0601,0
680,38.5232,0
681,39.4597,0
682,38.2921,0
683,39.1801,0
684,37.3838,0
685,36.992,0
686,41.3279,0
687,38.0649,0
688,41.2023,1
689,40.7091,0
690,75.9181,0
691,58.0716,1
692,38.1076,0
693,42.1082,0
694,41.5779,0
695,42.5917,1
696,39.9841,1
697,41.4296,0
698,37.9816,1
699,38.7671,0
700,39.3928,0
701,37.6957,0
702,38.6751,1
703,37.9031,0
704,37.2167,0
705,36.8313,0
706,37.8203,0
707,38.5065,0
708,37.9589,0
709,40.5655,0
710,38.424,0
711,40.7903,1
712,41.769,0
713,42.378,0
714,38.7069,0
715,41.1268,0
716,37.3263,0
717,39.8477,0
718,37.5559,0
719,37.4555,0
720,37.4279,0
721,40.4753,0
722,38.6639,0
723,36.0502,0
724,39.4117,0
725,38.1807,0
726,39.9239,0
727,37.7207,0
728,39.7654,0
729,41.9853,0
730,39.0169,1
731,38.974,1
732,38.96,0
733,40.0392,0
734,41.688,1
735,38.2165,1
736,38.7707,0
737,38.5133,0
738,37.7238,0
739,38.3821,1
740,38.9007,0
741,38.7035,1
742,39.0199,0
743,38.5607,0
744,36.8242,0
