email_idx,latency_ms,label
2426,38.6356,1
2440,37.9213,1
2443,38.6875,1
2445,40.0541,1
2451,39.193,1
2453,39.5782,1
2457,40.8052,1
2462,38.8022,1
2473,39.6466,1
2483,40.3355,1
2485,43.0134,1
2486,42.9411,1
2490,40.9215,1
2495,39.0173,1
2500,40.0516,1
2506,40.4801,1
2515,41.4077,1
2518,40.6086,1
2520,41.0394,1
2525,37.1395,1
2532,38.8359,1
2538,41.2765,1
2548,40.8605,1
2550,39.4586,1
2551,38.399,1
2556,38.7669,1
2559,38.9694,1
2576,37.3178,1
2582,38.5017,1
2599,38.2685,1
2605,41.4102,1
2607,41.4951,1
2609,40.9872,1
2612,40.9082,1
2616,43.524,1
2619,39.4481,1
2622,39.8602,1
2627,38.4555,1
2633,38.5946,1
2636,37.9417,1
2642,39.0537,1
2647,40.1767,1
2657,38.9739,1
2658,40.9588,1
2661,43.4144,1
2664,43.4656,1
2666,40.6766,1
2674,40.9275,1
2675,39.9489,1
2676,39.0266,1
2677,38.9759,1
2682,42.614,1
2688,45.7095,1
2697,45.3654,1
2698,42.2972,1
2699,36.399,1
2704,38.824,1
2705,43.468,1
2707,48.3814,1
2710,49.0774,1
2726,43.4364,1
2729,39.1029,1
2730,38.165,1
2738,38.6468,1
2740,41.2081,1
2742,38.989,1
2748,40.6966,1
2751,43.8008,1
2752,43.1216,1
2756,43.2525,1
2760,40.8535,1
2764,40.0528,1
2769,36.9377,1
2774,39.035,1
2780,38.7765,1
2785,39.3727,1
2788,38.5495,1
2796,40.4484,1
2798,42.8399,1
2799,42.9791,1
2809,43.7499,1
2812,44.0128,1
2819,44.3079,1
2821,41.4184,1
2823,42.7622,1
2827,44.3946,1
2828,45.2283,1
2829,43.2249,1
2832,41.1469,1
2838,39.9216,1
2842,39.7996,1
2845,44.7827,1
2847,45.0599,1
2848,44.9108,1
2854,41.9361,1
2855,40.6303,1
2856,42.7784,1
2871,42.1819,1
2875,41.4996,1
